clan;year;session;location;landmark_id;utme;utmn
talek;2005;t54324;o;T_Stop;745255;9837231
talek;2005;t54327;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54329;o;Talek_Lugga_Crossing;745011;9840251
talek;2005;t54331;o;Leopard_Crossing;752229;9837166
talek;2005;t54332;o;Leopard_Crossing;752229;9837166
talek;2005;t54333;o;Baboon_T;752211;9836888
talek;2005;t54335;o;Middle_SRL_X;752711;9837043
talek;2005;t54336;o;Leopard_Crossing;752229;9837166
talek;2005;t54337;o;Leopard_Crossing;752229;9837166
talek;2005;t54338;o;Talek_Lugga_-_Top;744521;9840242
talek;2005;t54340;o;Baboon_T;752034;9837121
talek;2005;t54342;o;Middle_SRL_X;752485;9836815
talek;2005;t54343;o;Middle_SRL_X;752360;9836394
talek;2005;t54344;o;Baboon_T;752351;9837019
talek;2005;t54351;o;Maji_Fisi;744712;9838322
talek;2005;t54354;o;Middle_SRL_X;752362;9836926
talek;2005;t54355;o;Hi_Step_X;753332;9835556
talek;2005;t54356;o;Twin_Tree_Crossing;753984;9836200
talek;2005;t54357;o;Dave_X;753621;9836722
talek;2005;t54361;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54363;o;FT_L_X;744300;9840090
talek;2005;t54364;o;Border_Tree;744913;9839134
talek;2005;t54365;o;Plantation_Den;746328;9839288
talek;2005;t54366;o;Plantation_Den;746328;9839288
talek;2005;t54367;o;Maji_Fisi;745227;9838211
talek;2005;t54368;o;Maji_Fisi;745018;9838398
talek;2005;t54369;o;Maji_Fisi;745267;9838493
talek;2005;t54370;o;Maji_Fisi;745018;9838398
talek;2005;t54371;o;Talek_Lugga_Crossing;745009;9839994
talek;2005;t54372;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54374;o;Fig_Tree_Lugga_-_Top;744169;9839854
talek;2005;t54377;o;OTR_D;753601;9837476
talek;2005;t54379;c;SRP_T;753729;9836708
talek;2005;t54380;o;Maji_Fisi;745018;9838398
talek;2005;t54381;o;T_L_X;744733;9840140
talek;2005;t54383;o;Border_Tree;745285;9838900
talek;2005;t54384;o;Border_Tree;745490;9838510
talek;2005;t54387;o;Fever_T_ND/CD;753730;9837184
talek;2005;t54388;d;Fever_Tree_Natal_Den/Communal_Den_Complex;753681;9837484
talek;2005;t54390;k;Rocky_Pl;752510;9835938
talek;2005;t54394;o;Coral_Reef;745721;9839201
talek;2005;t54397;o;Talek_Lugga_Crossing;744596;9840300
talek;2005;t54398;o;Furtive_Forest;752181;9836333
talek;2005;t54403;o;Maji_Fisi;745120;9838582
talek;2005;t54404;o;Fig_Tree_Lugga_-_Top;744124;9840191
talek;2005;t54405;o;Fig_Tree_Lugga_-_Top;744200;9839859
talek;2005;t54407;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54408;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54410;o;DWV_CD;752810;9837399
