"";"landmark_id";"year";"session";"total_cubs"
"506";"Central_Park_Communal_Den";2013;"t82018";11
"507";"Central_Park_Communal_Den";2018;"t102164";11
"508";"Crepes_Den";2011;"s6618";11
"509";"Croton_Edge_Communal_Den";2010;"t71707";11
"510";"Croton_Edge_Communal_Den";2010;"t71723";11
"511";"Crunk_Den";2018;"s23458";11
"512";"Crunk_Den";2018;"s23475";11
"513";"Crunk_Den";2018;"s23505";11
"514";"Crunk_Den";2018;"s23535";11
"515";"DOC_Communal_Den";2014;"t87236";11
"516";"DOC_Communal_Den";2015;"t93099";11
"517";"DOC_Den_2";2017;"t100661";11
"518";"Dave's_Den";2014;"t86612";11
"519";"Dave's_Den";2014;"t86692";11
"520";"Dave's_Den";2015;"t92037";11
"521";"Dave's_Den";2015;"t92567";11
"522";"Dave's_Den";2015;"t92670";11
"523";"Dave_Den";2017;"t98267";11
"524";"Dave_Den";2017;"t98285";11
"525";"Dawn_Den";2019;"s109712";11
"526";"Dawn_Den";2022;"s115693";11
"527";"Dawn_Den";2022;"s115765";11
"528";"Dawn_Den";2022;"s115766";11
"529";"Dawn_Den_2";2022;"s115773";11
"530";"DeGaulle_Den";2009;"s1875";11
"531";"DeGaulle_Den";2013;"s10487";11
"532";"DeGaulle_Den";2013;"s10505";11
"533";"DeGaulle_Den";2013;"s10507";11
"534";"DeGaulle_Den";2013;"s10513";11
"535";"DeGaulle_Den";2019;"s109099";11
"536";"DeGaulle_Den";2019;"s109117";11
"537";"DeGaulle_Den";2019;"s109123";11
"538";"DeGaulle_Den";2019;"s109132";11
"539";"DeGaulle_Den";2019;"s109146";11
"540";"DeGaulle_Den";2019;"s109147";11
"541";"DeGaulle_Den";2019;"s109397";11
"542";"DeGaulle_Den";2019;"s109411";11
"543";"Doom's_Day_Den";2003;"t38734";11
"544";"Doom's_Day_Den";2003;"t38797";11
"545";"Doom's_Day_Den";2003;"t38810";11
"546";"Flintstone_Den";2015;"t92782";11
"547";"Flintstone_Den";2015;"t92804";11
"548";"Flintstone_Den";2015;"t92897";11
"549";"Flintstone_Den";2015;"t92968";11
"550";"Flintstone_Den";2015;"t92978";11
"551";"Flintstone_Den";2015;"t93059";11
"552";"Flintstone_Den";2017;"t101180";11
"553";"Flintstone_Den";2017;"t101198";11
"554";"Flintstone_Den";2017;"t101634";11
"555";"Grits_Den";2011;"s6557";11
"556";"Grits_Den";2013;"s10640";11
"557";"Happy_New_Year_Den";2013;"s9890";11
"558";"Houdini_Den";2016;"s18955";11
"559";"IAT_Den";2016;"s18554";11
"560";"IAT_Den";2016;"s18575";11
"561";"IAT_Den";2016;"s18658";11
"562";"IAT_Den";2016;"s18697";11
"563";"IAT_Den";2016;"s18807";11
"564";"IAT_Den";2016;"s18839";11
"565";"IAT_Den";2016;"s18853";11
"566";"J_Fab_Den";2016;"s18860";11
"567";"J_Fab_Den";2017;"s21365";11
"568";"J_Fab_Den";2017;"s21402";11
"569";"J_Fab_Den";2017;"s21438";11
"570";"Kinda-See-Em_Den";2008;"t63486";11
"571";"Kinda-See-Em_Den";2008;"t63496";11
"572";"Kinda-See-Em_Den";2008;"t63506";11
"573";"Kinda-See-Em_Den";2008;"t63551";11
"574";"Kinda-See-Em_Den";2008;"t64143";11
"575";"Kinda_See_Em_Den_Two";2010;"t69140";11
