session;landmark_id;date;year;month;day;clan;utme;utmn;category
s109284;Wapi_Dave_Den;2019-04-12;2019;04;12;happyzebra;714577;9847556;cd
s109285;Lugga_Den_II;2019-04-12;2019;04;12;happyzebra;718642;9844590;cd
s109290;Lugga_Den_II;2019-04-14;2019;04;14;happyzebra;718642;9844590;cd
s109292;Lugga_Den_II;2019-04-14;2019;04;14;happyzebra;718642;9844590;cd
s109297;Wapi_Dave_Den;2019-04-17;2019;04;17;happyzebra;714577;9847556;cd
s109299;Lugga_Den_II;2019-04-18;2019;04;18;happyzebra;718642;9844590;cd
s1093;Rocky_Point_Den;2010-06-17;2010;06;17;happyzebra;716191;9842646;cd
s109301;Wapi_Dave_Den;2019-04-20;2019;04;20;happyzebra;714577;9847556;cd
s109302;Lugga_Den_II;2019-04-20;2019;04;20;happyzebra;718642;9844590;cd
s109306;Wapi_Dave_Den;2019-04-23;2019;04;23;happyzebra;714577;9847556;cd
s109308;Lugga_Den_II;2019-04-24;2019;04;24;happyzebra;718642;9844590;cd
s109309;Lugga_Den_II;2019-04-28;2019;04;28;happyzebra;718642;9844590;cd
s10931;DeGaulle_Den;2013-08-15;2013;08;15;serenan;723652;9844975;cd
s109312;Wapi_Dave_Den;2019-04-28;2019;04;28;happyzebra;714577;9847556;cd
s109313;Wapi_Dave_Den;2019-04-30;2019;04;30;happyzebra;714577;9847556;cd
s109315;Lugga_Den_II;2019-05-01;2019;05;01;happyzebra;718642;9844590;cd
s109317;Lugga_Den_II;2019-05-03;2019;05;03;happyzebra;718642;9844590;cd
s109320;Wapi_Dave_Den;2019-05-05;2019;05;05;happyzebra;714577;9847556;cd
s109324;Lugga_Den_II;2019-05-07;2019;05;07;happyzebra;718642;9844590;cd
s109325;Lugga_Den;2019-05-08;2019;05;08;happyzebra;718649;9844548;cd
s109328;Wapi_Dave_Den;2019-05-11;2019;05;11;happyzebra;714577;9847556;cd
s10933;DeGaulle_Den;2013-08-16;2013;08;16;serenan;723652;9844975;cd
