session;landmark_id;date;year;month;clan;utme;utmn;category
s117374;Migration_Den_4;2023-02-24;2023;02;happyzebra;719680;9837699;cd
s117377;Coincidence_Den_2;2023-03-01;2023;03;happyzebra;719576;9837606;cd
s117379;Migration_Den_3;2023-03-02;2023;03;happyzebra;719817;9837650;cd
s117398;Migration_Den_4;2023-03-08;2023;03;happyzebra;719680;9837699;cd
s1174;Grand_Theft_Auto_Den;2010-09-12;2010;09;happyzebra;717033;9844406;cd
s117405;Coincidence_D;2023-03-08;2023;03;happyzebra;719522;9837495;cd
s1183;Arson_Den;2010-09-15;2010;09;happyzebra;717309;9844189;cd
s1184;Homicide_Den;2010-09-15;2010;09;happyzebra;717090;9844193;cd
s11933;FML_Den;2013-10-09;2013;10;serenas;725171;9841252;cd
s1198;Homicide_Den;2010-10-03;2010;10;happyzebra;717090;9844193;cd
s11985;FML_Den;2013-11-01;2013;11;serenas;725171;9841252;cd
s1200;Vandalism_Den;2010-10-03;2010;10;happyzebra;717253;9844123;cd
s1202;Arson_Den;2010-10-05;2010;10;happyzebra;717309;9844189;cd
s12039;Boone_Den;2013-11-28;2013;11;serenas;725499;9840852;cd
s12062;FML_Den;2013-12-02;2013;12;serenas;725171;9841252;cd
s12065;Boone_Den;2013-12-04;2013;12;serenas;725499;9840852;cd
s12073;Smoke_Monster_Den;2013-12-05;2013;12;serenas;725574;9841261;cd
s12140;Rousseau_Den;2013-12-28;2013;12;serenas;725441;9840912;cd
s12154;Windsor_Den;2013-01-05;2013;01;happyzebra;716432;9842596;cd
s12169;Holy_Grail_Den;2013-02-02;2013;02;happyzebra;719087;9840152;cd
s12209;Holy_Grail_Den;2013-03-04;2013;03;happyzebra;719087;9840152;cd
s12211;Amazon_Den;2013-03-11;2013;03;happyzebra;719656;9838561;cd
s1222;Larceny_Den;2010-10-27;2010;10;happyzebra;717242;9843722;cd
s12239;Holy_Grail_Den;2013-04-02;2013;04;happyzebra;719087;9840152;cd
s12247;Holy_Grail_Den;2013-05-05;2013;05;happyzebra;719087;9840152;cd
s1226;Vandalism_Den;2010-11-01;2010;11;happyzebra;717253;9844123;cd
s1228;Larceny_Den;2010-11-05;2010;11;happyzebra;717242;9843722;cd
s12291;Holy_Grail_Den;2013-06-02;2013;06;happyzebra;719087;9840152;cd
s12381;Gettysburg_Den;2013-07-15;2013;07;happyzebra;719322;9840190;cd
s12403;Schmuzty_Den;2013-07-27;2013;07;happyzebra;720201;9839904;cd
s12417;Schmuzty_Den;2013-08-02;2013;08;happyzebra;720201;9839904;cd
s12433;Schmuck_Den;2013-08-10;2013;08;happyzebra;720374;9839933;cd
s12464;Oy_Vey_Den;2013-08-28;2013;08;happyzebra;721091;9840261;cd
s12468;Oy_Vey_Den;2013-09-03;2013;09;happyzebra;721091;9840261;cd
s12477;Mashugana_Den;2013-09-08;2013;09;happyzebra;721208;9840487;cd
s12479;Mashugana_Den_II;2013-09-09;2013;09;happyzebra;721189;9840596;cd
s12493;Bubula_Den;2013-10-01;2013;10;happyzebra;720534;9840559;cd
s1251;Gila_River_Den_II;2010-11-23;2010;11;happyzebra;716426;9843696;cd
s1264;Gila_River_Den_II;2010-12-07;2010;12;happyzebra;716426;9843696;cd
s12665;Windsor_Den;2013-12-19;2013;12;happyzebra;716432;9842596;cd
s12667;Amazon_Den;2013-12-19;2013;12;happyzebra;719656;9838561;cd
s12690;Windsor_Den;2014-01-05;2014;01;happyzebra;716432;9842596;cd
s1270;Gila_River_Den;2010-12-13;2010;12;happyzebra;716307;9843668;cd
s12721;Windsor_Den;2014-02-02;2014;02;happyzebra;716432;9842596;cd
s12744;Tigris_Den;2014-02-09;2014;02;happyzebra;719693;9838330;cd
s1278;Gila_River_Den_III;2010-12-16;2010;12;happyzebra;716452;9843748;cd
s12794;Tigris_Den;2014-03-01;2014;03;happyzebra;719693;9838330;cd
s12801;Windsor_Den;2014-03-07;2014;03;happyzebra;716432;9842596;cd
s12830;Tigris_Den;2014-04-02;2014;04;happyzebra;719693;9838330;cd
s12890;Tigris_Den;2014-05-02;2014;05;happyzebra;719693;9838330;cd
s12955;Tigris_Den;2014-06-01;2014;06;happyzebra;719693;9838330;cd
s12980;Tigris_Den;2014-07-06;2014;07;happyzebra;719693;9838330;cd
s13059.1;Cannibal_Cami_Den;2014-09-22;2014;09;happyzebra;718608;9836934;cd
s13066;Cannibal_Cami_Den;2014-10-03;2014;10;happyzebra;718608;9836934;cd
s13069;Whooping_Cami_Den;2014-10-08;2014;10;happyzebra;718655;9836894;cd
s13089;Whooping_Cami_Den;2014-11-01;2014;11;happyzebra;718655;9836894;cd
